detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,measurements,willArriveForHoliday,imageUrl,sellingIndex,sold,quickShip
./diamond-details/LD11540923,1.94,Aug 7,Aug 10,22093,,11388,LD11540923,LD11540923,RD,Round,VS2,D,None,Ideal,60.1,None,1.01,Excellent,Excellent,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1196839859/still_230x230.jpg,https://bluenile.v360.in/29/imaged/gia-1196839859/1/,8.08 x 8.13 x 4.87 mm,False,,0.11730303,False,False
./diamond-details/LD13584820,3.0,Aug 7,Aug 10,22093,,7364,LD13584820,LD13584820,RD,Round,VS1,K,None,Ideal,63.3,None,1.01,Excellent,Very Good,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6342947001/still_230x230.jpg?v=2,https://bluenile.v360.in/29/imaged/gia-6342947001/2/,9.10 x 9.17 x 5.78 mm,False,,0.21655777,False,False
./diamond-details/LD14001146,1.9,Aug 10,Aug 11,22094,,11628,LD14001146,LD14001146,RD,Round,VS2,D,None,Ideal,62.9,None,1.01,Excellent,Excellent,57.0,False,,,7.91 x 7.87 x 4.96 mm,False,,0.032592565,False,False
./diamond-details/LD13340010,2.01,Aug 6,Aug 7,22095,,10993,LD13340010,LD13340010,RD,Round,VS2,H,None,Ideal,62.6,None,1.01,Excellent,Excellent,60.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-3345265628/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-3345265628/1/,8.00 x 8.06 x 5.03 mm,False,,0.125878,False,False
./diamond-details/LD13729565,1.82,Aug 20,Aug 21,22106,,12146,LD13729565,LD13729565,RD,Round,VVS1,G,None,Ideal,62.1,None,1.01,Excellent,Excellent,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6341933653/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6341933653/1/,7.82 x 7.77 x 4.84 mm,False,,0.19957408,False,False
./diamond-details/LD00000423,1.61,Jul 28,Jul 29,22107,,13731,LD00000423,LD00000423,RD,Round,VVS2,D,None,Ideal,60.5,None,1.0,Excellent,Excellent,60.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6235236901/still_230x230.jpg,https://bluenile.v360.in/15/imaged/gia-6235236901/1/,7.60 x 7.57 x 4.59 mm,False,,0.19744352,False,True
./diamond-details/LD14008372,2.01,Aug 20,Aug 21,22117,,11003,LD14008372,LD14008372,RD,Round,VS2,F,None,Very Good,61.9,Faint,1.0,Excellent,Excellent,59.0,False,,,8.06 x 8.09 x 5.00 mm,False,,0.07831431,False,False
./diamond-details/LD08687337,1.69,Aug 13,Aug 14,22123,,13091,LD08687337,LD08687337,RD,Round,IF,E,None,Ideal,61.7,Strong,1.0,Excellent,Very Good,56.0,False,,,7.70 x 7.73 x 4.76 mm,False,,0.1659747,False,False
./diamond-details/LD13266023,2.01,Aug 20,Aug 21,22125,,11007,LD13266023,LD13266023,RD,Round,VS2,E,None,Very Good,64.7,None,1.01,Excellent,Very Good,55.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6322686750/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6322686750/1/,7.96 x 7.86 x 5.11 mm,False,,0.08782189,False,False
./diamond-details/LD11447604,1.92,Jul 24,Jul 27,22131,,11527,LD11447604,LD11447604,RD,Round,VS2,G,Very Small,Ideal,61.9,None,1.01,Excellent,Excellent,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5191791272/still_230x230.jpg,https://bluenile.v360.in/1/imaged/gia-5191791272/1/,7.95 x 7.90 x 4.90 mm,False,,0.043626793,False,True
./diamond-details/LD13879472,2.0,Aug 13,Aug 14,22133,,11066,LD13879472,LD13879472,RD,Round,VS1,G,None,Very Good,64.2,None,1.01,Excellent,Excellent,58.0,False,,,7.89 x 7.82 x 5.04 mm,False,,0.07713691,False,False
./diamond-details/LD09751646,1.8,Jul 28,Jul 29,22139,,12299,LD09751646,LD09751646,RD,Round,VS1,F,None,Ideal,62.4,None,1.01,Excellent,Excellent,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2191035420/still_230x230.jpg?v=3,https://bluenile.v360.in/15/imaged/gia-2191035420/3/,7.77 x 7.72 x 4.83 mm,False,,0.16639017,False,True
./diamond-details/LD03520744,1.8,Aug 3,Aug 4,22143,,12302,LD03520744,LD03520744,RD,Round,VVS1,G,None,Ideal,62.3,None,1.0,Excellent,Excellent,59.0,False,,,7.78 x 7.75 x 4.84 mm,False,,0.074411124,False,False
./diamond-details/LD13582991,2.15,Aug 3,Aug 4,22145,,10300,LD13582991,LD13582991,RD,Round,VS1,H,None,Ideal,59.1,None,1.0,Excellent,Excellent,59.0,False,,,8.47 x 8.51 x 5.02 mm,False,,0.30290177,False,False
./diamond-details/LD12257764,1.72,Jul 29,Jul 30,22150,,12878,LD12257764,LD12257764,RD,Round,VVS1,F,None,Ideal,62.4,None,1.01,Excellent,Excellent,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2324501356/still_230x230.jpg,https://bluenile.v360.in/71/imaged/gia-2324501356/1/,7.70 x 7.65 x 4.79 mm,False,,0.20479003,False,True
./diamond-details/LD13290059,2.0,Jul 29,Jul 30,22150,,11075,LD13290059,LD13290059,RD,Round,SI1,E,None,Very Good,62.1,None,1.0,Very Good,Very Good,56.0,False,,,8.09 x 8.12 x 5.03 mm,False,,0.027513994,False,True
./diamond-details/LD13609218,2.01,Aug 7,Aug 10,22153,,11021,LD13609218,LD13609218,RD,Round,VS1,D,None,Ideal,61.7,Strong,1.0,Excellent,Excellent,61.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1348861060/still_230x230.jpg,https://bluenile.v360.in/29/imaged/gia-1348861060/1/,8.05 x 8.09 x 4.98 mm,False,,0.6845322,False,False
./diamond-details/LD02066355,1.5,Aug 3,Aug 4,22155,,14770,LD02066355,LD02066355,RD,Round,VVS1,D,None,Very Good,58.2,None,1.01,Excellent,Very Good,62.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2135252447/still_230x230.jpg,https://bluenile.v360.in/59/imaged/gia-2135252447/1/,7.61 x 7.53 x 4.41 mm,False,,0.16607834,False,False
./diamond-details/LD12934999,3.01,Jul 29,Jul 30,22157,,7361,LD12934999,LD12934999,RD,Round,SI2,J,None,Very Good,60.0,Faint,1.01,Excellent,Very Good,65.0,False,,,9.34 x 9.25 x 5.57 mm,False,,0.031501118,False,True
./diamond-details/LD13601263,2.01,Jul 28,Jul 29,22162,,11026,LD13601263,LD13601263,RD,Round,VVS2,H,None,Ideal,62.9,None,1.0,Excellent,Excellent,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6335311879/still_230x230.jpg,https://bluenile.v360.in/23/imaged/gia-6335311879/1/,8.05 x 8.02 x 5.05 mm,False,,0.30306357,False,True
./diamond-details/LD12985363,3.03,Aug 3,Aug 4,22167,,7316,LD12985363,LD12985363,RD,Round,VS2,K,None,Ideal,61.4,None,1.0,Excellent,Excellent,60.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2338824854/still_230x230.jpg,https://bluenile.v360.in/55/imaged/gia-2338824854/1/,9.30 x 9.33 x 5.72 mm,False,,0.09469865,False,False
./diamond-details/LD04112495,1.57,Aug 3,Aug 4,22171,,14122,LD04112495,LD04112495,RD,Round,VVS2,D,None,Ideal,59.4,None,1.01,Excellent,Excellent,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-3165875970/still_230x230.jpg,https://bluenile.v360.in/59/imaged/gia-3165875970/1/,7.65 x 7.61 x 4.53 mm,False,,0.18983154,False,False
./diamond-details/LD14004825,2.12,Aug 20,Aug 21,22173,,10459,LD14004825,LD14004825,RD,Round,SI1,F,None,Ideal,62.7,None,1.0,Excellent,Excellent,56.0,False,,,8.16 x 8.18 x 5.13 mm,False,,0.09316479,False,False
